,Brand,Model,Power,Price,Seller
0,LG,HN1616.NK1,16,"324,000.00",Steelsoft
1,LG,HN1636.NK1,16,"338,400.00",Steelsoft
2,LG,HU121.U31,12,"295,200.00",Steelsoft
3,LG,HU123.U31,12,"352,800.00",Steelsoft
4,TRANE,,NaN,0.00,Steelsoft
5,TRANE,,NaN,0.00,Steelsoft
6,TRANE,,NaN,0.00,Steelsoft
7,TRANE,,NaN,0.00,Steelsoft
8,TRANE,,NaN,0.00,Steelsoft
9,LG,HU143.U31,14,"324,000.00",Steelsoft
10,LG,HM031M.U42,14,"302,400.00",Steelsoft
11,LG,HU141.U31,14,"302,400.00",Steelsoft
12,LG,HM051M.U42,4,"388,800.00",Steelsoft
13,LG,HU123.U32,12,"309,600.00",Steelsoft
14,LG,HU161H.U32,16,"331,200.00",Steelsoft
15,MITSUBISHI,PUHZ-SHW80VHAR,8,"381,600.00",Steelsoft
16,MITSUBISHI,PUHZ-SHW140YHAR4,14,"618,480.00",Steelsoft
17,TRANE,090,NaN,"9,780,085.00",Steelsoft
18,MITSUBISHI,PUHZ-SW75VHAR5,8,"321,840.00",Steelsoft
19,MITSUBISHI,PUHZ-SW120YHAR4,12,"511,200.00",Steelsoft
20,MITSUBISHI,PUHZ-SW200YKAR1,20,"796,320.00",Steelsoft
21,MITSUBISHI,PUHZ-SW50VKA,4,"211,680.00",Steelsoft
22,MITSUBISHI,PUHZ-SW160YKAR1,16,"712,800.00",Steelsoft
23,MITSUBISHI,PUHZ-SHW230YKA2,23,"1,106,640.00",Steelsoft
24,MITSUBISHI,PUHZ-SHW112YAA,11,"591,840.00",Steelsoft
25,TRANE,IH130,NaN,"6,353,280.00",Steelsoft
26,LG,ACHH020LBAB,NaN,"2,721,600.00",Steelsoft
27,LG,ACHH023LBAB,NaN,"3,153,600.00",Steelsoft
28,LG,ACHH033LBAB,NaN,"4,737,600.00",Steelsoft
29,LG,ACHH067LBAB,NaN,"8,913,600.00",Steelsoft
30,MITSUBISHI,R1,NaN,"928,800.00",Steelsoft
31,LG,HM121M.U33,12,"576,000.00",Steelsoft
32,LG,HM091M.U43,8,"482,400.00",Steelsoft
33,LG,HM051M.U43,4,"453,600.00",Steelsoft
34,LG,HM071M.U43,6,"468,000.00",Steelsoft
35,LG,HM123M.U33,12,"619,200.00",Steelsoft
36,LG,HM143M.U33,14,"626,400.00",Steelsoft
37,LG,HM163M.U33,16,"640,800.00",Steelsoft
38,LG,ACHH040LBAB,16,"5,313,600.00",Steelsoft
39,LG,HU091.U43,8,"223,200.00",Steelsoft
40,LG,ACHH045LBAB,8,"5,889,600.00",Steelsoft
41,LG,ACHH050LBAB,4,"7,329,600.00",Steelsoft
42,LG,ACHH060LBAB,4,"7,905,600.00",Steelsoft
43,TRANE,RTAF450,NaN,"24,465,600.00",Steelsoft
44,MITSUBISHI,PUHZ-SW120YHAR5,12,"532,080.00",Steelsoft
45,TRANE,145,NaN,0.00,Steelsoft
46,MITSUBISHI,PUHZ-SHW230YKA2R2,23,"1,106,640.00",Steelsoft
47,TRANE,205,NaN,"9,839,304.00",Steelsoft
48,TRANE,280,NaN,"19,418,296.80",Steelsoft
49,TRANE,RTAF450,NaN,0.00,Steelsoft
50,TRANE,RTAF550,NaN,"22,499,280.00",Steelsoft
51,MITSUBISHI,PUHZ-HRP200YKA,20,"928,800.00",Steelsoft
52,LG,HU161HA.U33,16,"439,200.00",Steelsoft
53,LG,HN0916M.NK4,8,"331,200.00",Steelsoft
54,LG,HU091MR.U44,8,"230,400.00",Steelsoft
55,LG,HU071MR.U44,6,"223,200.00",Steelsoft
56,LG,HU051MR.U44,4,"208,800.00",Steelsoft
57,TRANE,330,NaN,"13,536,000.00",Steelsoft
58,TRANE,200,NaN,0.00,Steelsoft
59,TRANE,EYKH400,NaN,0.00,Steelsoft
60,TRANE,EYKH600,NaN,0.00,Steelsoft
61,MITSUBISHI,PUD-SHWM100YAA,10,"632,880.00",Steelsoft
62,MITSUBISHI,PUD-SHWM120YAA,12,"673,920.00",Steelsoft
63,MITSUBISHI,PUD-SHWM140YAA,14,"688,320.00",Steelsoft
64,TRANE,245,NaN,"13,914,141.60",Steelsoft
65,MITSUBISHI,PUD-SHWM80YAA,8,"560,160.00",Steelsoft
66,MITSUBISHI,ERST30C-VM2ED,8,"673,920.00",Steelsoft
67,MITSUBISHI,PUD-SHWM80VAA,8,"513,360.00",Steelsoft
68,LG,HU121MRB.U30,12,"453,600.00",Steelsoft
69,LG,HU141MRB.U30,14,"482,400.00",Steelsoft
70,LG,HU161MRB.U30,16,"504,000.00",Steelsoft
71,LG,HU123MRB.U30,12,"475,200.00",Steelsoft
72,LG,HU143MRB.U30,14,"496,800.00",Steelsoft
73,LG,HU163MRB.U30,16,"561,600.00",Steelsoft
74,LG,HN0916T.NB1,8,"655,200.00",Steelsoft
75,MITSUBISHI,PUHZ-SW120YHAR6,12,"532,080.00",Steelsoft
76,LG,WH20S.F5,12,"244,800.00",Steelsoft
77,LG,WH27S.F5,12,"266,400.00",Steelsoft
78,MITSUBISHI,PUD-SHWM140YAAR1,14,"688,320.00",Steelsoft
79,"['KLIMA', 'KOMORA', 'ZA', 'SPOLJAŠNJU', 'UGRADNJU,BAZENSKA,SPRATNA', 'BEZ', 'POSTOLJA', 'VELIČINE', '9']",9,NaN,"1,735,799.00",Steelsoft
80,MITSUBISHI,ERST30C-VM2EDR1,NaN,"673,920.00",Steelsoft
81,MITSUBISHI,170,NaN,"565,200.00",Steelsoft
82,MITSUBISHI,200,20,"581,760.00",Steelsoft
83,LG,HU121MA.U33,12,"345,600.00",Steelsoft
84,LG,HU141MA.U33,14,"367,200.00",Steelsoft
85,LG,HU161MA.U33,16,"381,600.00",Steelsoft
86,LG,HU123MA.U33,12,"352,800.00",Steelsoft
87,LG,HU143MA.U33,14,"374,400.00",Steelsoft
88,LG,HU163MA.U33,16,"417,600.00",Steelsoft
89,LG,HN091MR.NK5,8,"367,200.00",Steelsoft
90,LG,HN1616M.NK5,16,"267,200.00",Steelsoft
91,LG,HN1636M.NK5,16,"403,200.00",Steelsoft
92,LG,HN1600MC.NK1,16,"367,200.00",Steelsoft
93,LG,HN1616Y.NB1,16,"741,600.00",Steelsoft
94,LG,HM051MR.U44,4,"475,200.00",Steelsoft
95,LG,HM071MR.U44,6,"496,800.00",Steelsoft
96,LG,HM091MR.U44,8,"511,200.00",Steelsoft
97,LG,HM121MR.U34,12,"604,800.00",Steelsoft
98,LG,HM141MR.U34,14,"626,400.00",Steelsoft
99,LG,HM161MR.U34,16,"648,000.00",Steelsoft
100,LG,HM123MR.U34,12,"648,000.00",Steelsoft
101,LG,HM143MR.U34,14,"655,200.00",Steelsoft
102,LG,HM163MR.U34,16,"669,600.00",Steelsoft
103,MITSUBISHI,EHST20C-YM9DR1,16,"648,720.00",Steelsoft
104,TRANE,RTAF310,NaN,0.00,Steelsoft
105,TRANE,RTAF410,NaN,0.00,Steelsoft
106,TRANE,025,NaN,0.00,Steelsoft
107,TRANE,IH100,NaN,0.00,Steelsoft
